GameID,class,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
2702,4,19,10,300,92.7486,0.002702,0.000366,5,0.000155,0.000633,0.00297,55.8667,76.6445,4.9858,25,0.001281,7,0.000352,0.000028
8048,7,22,28,2700,179.7546,0.005395,0.000583,8,0.000885,0.000439,0.005214,24.1628,40.1626,5.3062,53,0.000621,8,0,0
72,7,17,42,10000,212.6022,0.00904,0.000676,6,0.001164,0.001253,0.004952,24.6117,41.7671,6.6104,45,0.002277,9,0.000129,0.000249
6483,2,21,4,500,68.3628,0.000029,0.000187,4,0.000029,0.000316,0.001824,29.3016,84.126,7.2835,24,0.00102,6,0,0
7072,6,20,24,1400,239.3442,0.026097,0.000326,4,0,0.000224,0.002707,44.303,56,6.9398,17,0.001344,5,0,0.000143
2029,7,19,28,1466,234.7176,0.011472,0.000936,8,0.000092,0.00091,0.004602,15.0575,43.1519,7.0774,33,0.003191,7,0.000053,0
3823,3,17,42,1100,77.6838,0.000761,0.000152,4,0.000017,0.000287,0.001623,31.1158,71.125,8.6458,13,0.000473,5,0,0.000085
6100,4,25,4,200,104.7372,0.003011,0.00051,6,0.000031,0.000149,0.003011,43.3107,59.2604,5.7969,43,0.000455,9,0.000274,0.000282
5640,7,26,24,1000,219.669,0.010871,0.000957,5,0.00109,0.000186,0.004412,14.3273,43.9036,6.6988,16,0.001754,5,0,0
7399,5,23,30,3257,187.4922,0.006895,0.000519,6,0,0.000037,0.004894,25.3752,37.5104,5.9119,26,0.000635,6,0,0
5586,4,27,8,850,112.0422,0.002575,0.000404,8,0.000307,0.000384,0.003199,40.7229,63.8438,6.3063,32,0.000961,10,0.000067,0.000163
6557,4,24,6,200,123.9822,0.002272,0.000252,7,0.000241,0.000516,0.003707,28.4969,54.6997,5.9536,21,0.002318,8,0,0
4396,2,21,10,60,51.0048,0.001099,0.000294,3,0,0.000069,0.002553,65.4422,95.3492,3.4407,17,0.00058,6,0,0.000242
1545,6,16,20,450,187.2972,0.001651,0.000265,2,0.000085,0.000286,0.004212,25.7834,43.2161,7.6005,20,0.002847,8,0.000317,0.000444
3762,3,16,8,100,51.4728,0.000757,0.000042,3,0,0.000383,0.002353,53.1064,90.5583,4.106,20,0.000524,8,0.000258,0.000399
7459,7,21,14,550,175.0908,0.011532,0.000859,7,0.00002,0.00012,0.003198,26.6667,45.225,6.6375,20,0.000999,3,0,0
10065,8,NULL,NULL,NULL,248.4012,0.016018,0.000874,9,0.000388,0.000372,0.005987,16.3144,30.2486,5.0973,21,0.001197,6,0,0
713,3,20,20,500,133.8408,0.004806,0.000397,1,0.000031,0.000334,0.004232,33.6436,47.2494,5.0049,31,0.000972,7,0.000303,0.000031
3667,6,23,16,200,167.2536,0.011676,0.00064,5,0.000357,0.000328,0.003753,25.8008,60.8095,5.3889,20,0.001891,6,0.000283,0.000149
10081,8,NULL,NULL,NULL,339.1524,0.033058,0.001017,10,0.000477,0.000509,0.004609,21.6389,37.1862,6.7103,16,0.001049,3,0,0
3127,3,21,6,235,111.5712,0.003702,0.000277,2,0.000203,0.000619,0.004191,41.3687,57.1982,4.2775,35,0.000831,7,0,0
3767,4,36,10,400,73.698,0.001853,0.000176,6,0,0.000107,0.003258,46.3664,71.2575,3.7305,19,0.000683,8,0,0
2512,4,24,10,300,61.2018,0.002739,0.000401,5,0.00001,0.000049,0.003414,46.7241,75.6447,2.7077,23,0.000773,8,0.000284,0.000323
10045,8,NULL,NULL,NULL,203.7726,0.008337,0.000573,5,0.000614,0.000757,0.005954,11.3597,31.1615,5.1082,23,0.000859,7,0,0
6805,5,26,10,300,131.406,0.004581,0.000639,10,0.000163,0.000884,0.002678,26.4898,66.4162,7.5482,19,0.00102,6,0.000122,0.000136
2974,2,16,24,900,82.5966,0.002204,0.000414,1,0.000031,0.000435,0.00269,56.6486,75.9385,5.1231,24,0.000569,6,0,0.000031
6876,5,25,12,400,101.844,0.002264,0.000153,4,0.000034,0.000221,0.002894,28.426,54.9882,5.8765,15,0.001175,4,0,0
4607,7,18,42,2000,210.2112,0.008201,0.00122,6,0.00024,0.00086,0.005581,18.3597,34.0358,5.4122,24,0.002821,6,0,0.00004
3802,6,21,42,2000,197.1924,0.017286,0.000451,5,0,0,0.003637,41.5644,57.2566,5.3938,22,0.001078,5,0,0
6744,1,19,4,250,37.6506,0.000644,0.000097,5,0,0.00014,0.00246,104.9298,92.4192,2.6681,14,0.000226,7,0,0
7341,5,22,10,600,236.265,0.01881,0.00057,3,0.000026,0.000376,0.005445,38.969,40.1905,4.5214,34,0.001724,7,0,0
10039,8,NULL,NULL,NULL,192.4554,0.014277,0.000466,4,0,0.001591,0.003142,29.75,35.7531,7.1975,11,0.00128,3,0,0
2475,2,17,14,243,52.3722,0.000554,0.000208,2,0.000035,0.000087,0.002736,75.9236,77.2152,3.3797,16,0.000675,4,0,0.000052
6359,2,26,6,300,96.2022,0.002951,0.000322,3,0,0,0.002173,61.2,77.4321,6.6173,24,0.001073,5,0,0
6826,2,41,4,200,54.2166,0.001458,0.000292,1,0.000015,0.000187,0.001757,37.9316,117.0894,5.3234,22,0.000598,10,0,0.00003
6980,6,20,6,125,275.7342,0.013411,0.000831,6,0.000199,0.000684,0.006892,12.3723,28.8191,5.799,30,0.00116,8,0.000234,0.00103
8027,1,21,20,125,60.594,0.000194,0.000194,1,0.000083,0.000415,0.001551,68.8727,134.2857,7.2321,14,0.000637,4,0,0
915,3,18,20,500,119.8566,0.004626,0.000412,3,0,0.000266,0.002938,40.5091,66.1357,6.4932,26,0.001157,7,0.000106,0.000718
6324,1,27,8,250,141.6282,0.001354,0.000226,6,0,0.000197,0.002707,39.9024,69.6667,9.5243,27,0.000808,7,0.000207,0.00063
5475,6,17,6,1000,165.6588,0.007633,0.000391,5,0.000169,0.000795,0.004259,25.816,37.6391,5.5291,26,0.000964,7,0,0.000247
6085,6,26,6,288,119.5176,0.002864,0.000453,10,0.000344,0.000172,0.006054,31.8261,43.1317,3.1557,31,0.000897,7,0,0
4127,2,22,12,300,45.9942,0.000461,0.000154,3,0,0.000031,0.001184,45.2632,100.8831,7.1558,11,0.0004,5,0,0
1920,5,16,20,1000,130.4004,0.004472,0.000145,4,0,0.000048,0.004302,42.9153,49.138,4.6113,24,0.000763,6,0.000291,0.000109
10069,8,NULL,NULL,NULL,313.908,0.019537,0.001214,4,0.000318,0.000607,0.005879,8.1642,26.0918,6.7885,26,0.001321,8,0.000106,0.000443
4699,7,23,14,750,166.5456,0.006804,0.000361,6,0.000764,0.000605,0.004065,18.4845,49.2562,6.1219,26,0.000664,7,0,0
10021,8,NULL,NULL,NULL,189.5778,0.007559,0.000487,10,0.000606,0.000566,0.005821,22.0317,36.733,4.905,28,0.00054,5,0,0
5998,5,19,4,400,100.3878,0.001174,0.000386,3,0.000084,0.001543,0.003673,45.4495,52.0365,4.6712,20,0.000922,5,0,0
10005,8,NULL,NULL,NULL,287.8128,0.02904,0.001041,9,0.000231,0.000656,0.005399,31.6416,36.1143,4.5893,34,0.001138,6,0.000058,0
2261,5,16,28,300,89.748,0.001295,0.000476,2,0.000057,0.000609,0.00356,35.0108,52.8128,4.3422,19,0.000609,6,0,0
730,6,22,30,1000,132.111,0.002471,0.000696,1,0,0,0.003306,35.1489,49.6842,6.9263,20,0.003028,4,0,0
4607,7,18,42,2000,210.2112,0.008201,0.00122,6,0.00024,0.00086,0.005581,18.3597,34.0358,5.4122,24,0.002821,6,0,0.00004
6136,5,25,2,400,98.1156,0.001117,0.000209,7,0.000776,0.000256,0.00422,25.1197,51.1471,4.2059,26,0.001133,8,0,0
8419,2,23,24,500,36.2466,0.000759,0.000085,0,0.000104,0.00018,0.00148,86.271,146.5385,4.3974,25,0.000645,8,0,0
3091,7,25,10,900,178.8342,0.01591,0.000391,7,0.000141,0.000308,0.004792,34.681,46.2276,3.8166,36,0.000706,10,0,0.00009
1096,7,19,56,1700,130.86,0.003419,0.000552,5,0.000104,0.000069,0.003108,18.7416,52.3111,6.6667,15,0.000932,5,0,0
8635,2,16,16,500,131.0976,0.002649,0.000465,0,0,0.000848,0.003915,42.2738,55.905,5.5282,26,0.001092,6,0,0
10022,8,NULL,NULL,NULL,210.5088,0.007974,0.000867,7,0.000548,0.000638,0.006518,15.7856,30.7156,4.8058,34,0.000817,6,0,0
8417,1,22,28,900,70.5282,0.000368,0.000059,1,0,0.000036,0.003779,49.5268,59.3459,3.478,44,0.001046,5,0,0.000012
10081,8,NULL,NULL,NULL,339.1524,0.033058,0.001017,10,0.000477,0.000509,0.004609,21.6389,37.1862,6.7103,16,0.001049,3,0,0
6879,2,36,12,300,67.7856,0.000622,0.000052,4,0,0.000058,0.002379,76.2732,104.1744,5.188,22,0.000318,9,0,0
10061,8,NULL,NULL,NULL,284.2296,0.016069,0.000711,9,0.000355,0.000548,0.00668,9.4756,29.6851,5.3326,25,0.002459,7,0,0
10072,8,NULL,NULL,NULL,243.7134,0.017195,0.000711,6,0.000666,0.000426,0.005594,21.8795,30.5722,5.1136,25,0.000576,8,0,0
2521,6,19,56,2000,186.2586,0.004035,0.000612,6,0.000143,0.000768,0.004334,28.3253,44.5285,7.1532,24,0.001406,7,0,0.000013
5698,4,20,28,100,99.6072,0.003801,0.000307,3,0.000034,0.000153,0.003289,35.125,65.3886,4.5285,17,0.001074,6,0,0.000102
7077,5,21,8,400,115.8672,0.002707,0.000394,5,0,0.000381,0.003784,34.5226,51.75,5.0174,24,0.001117,5,0,0
10069,8,NULL,NULL,NULL,313.908,0.019537,0.001214,4,0.000318,0.000607,0.005879,8.1642,26.0918,6.7885,26,0.001321,8,0.000106,0.000443
97,3,18,12,350,67.4754,0.000423,0.000169,1,0.000024,0.000145,0.002885,42.437,68.0502,4.3222,16,0.000748,7,0,0.000435
4699,7,23,14,750,166.5456,0.006804,0.000361,6,0.000764,0.000605,0.004065,18.4845,49.2562,6.1219,26,0.000664,7,0,0
3861,5,17,24,800,256.8528,0.017065,0.000605,4,0,0.000802,0.005056,15.3896,34.9773,6.2298,25,0.001669,5,0,0
178,5,22,8,300,157.332,0.007743,0.000223,1,0.000131,0.000986,0.003799,33.0417,57.7716,5.8581,29,0.001893,6,0,0
10038,8,NULL,NULL,NULL,146.3892,0.006701,0.0004,10,0.000883,0.002384,0.003617,18.4444,47.3364,5.8341,17,0.00095,8,0.000017,0.000167
8813,4,19,30,1560,123.642,0.00171,0.000132,0,0.000031,0.000295,0.003827,42.4,59.0319,5.4867,30,0.001588,7,0,0
4767,4,19,6,150,103.5516,0.000346,0.000133,4,0.00008,0.000306,0.002757,39.0874,69.372,6.7681,18,0.001012,5,0,0.000027
220,2,27,8,280,55.047,0.000643,0.000126,0,0.000074,0.000095,0.002529,62.8452,83.8667,3.9333,22,0.000527,6,0,0.000179
10076,8,NULL,NULL,NULL,225.0678,0.014339,0.001627,7,0.000291,0.000911,0.005281,16.3502,33.2874,5.4713,26,0.000898,8,0,0.000959
4427,2,25,2,200,56.4816,0,0.000036,2,0,0.000036,0.00332,41.4058,77.6462,3.2166,20,0.000467,6,0,0
9098,7,23,6,240,171.4218,0.003781,0.000443,7,0.000341,0.000721,0.004893,26.1969,39.7313,5.3282,16,0.002643,7,0,0
10036,8,NULL,NULL,NULL,325.1154,0.02979,0.001338,10,0.000059,0.000357,0.005381,15.4571,40.3646,5.7652,22,0.000907,7,0,0
5674,2,20,12,200,132.3936,0.005422,0.000312,9,0.000009,0.00033,0.003835,42.5036,59.0909,5.1699,34,0.001514,8,0,0
581,5,21,8,800,120.9714,0.007152,0.000399,5,0.000045,0.000154,0.003395,38.3914,62.7166,4.607,26,0.000608,6,0.0001,0.000227
966,4,22,10,1000,87.9012,0.000764,0.000038,1,0.0002,0.000115,0.003331,40.6897,73.2722,4.7908,30,0.001317,9,0,0
5483,1,23,20,216,54.405,0.002137,0.000356,1,0.000186,0.000237,0.002256,37.6634,96.2237,3.8487,25,0.000594,8,0,0.000045
9098,7,23,6,240,171.4218,0.003781,0.000443,7,0.000341,0.000721,0.004893,26.1969,39.7313,5.3282,16,0.002643,7,0,0
7848,7,26,36,1300,188.5512,0.008662,0.001387,5,0.000368,0.000397,0.005371,23.0188,37.9249,4.8863,36,0.000522,7,0.00035,0.000765
10030,8,NULL,NULL,NULL,275.8632,0.019502,0.001449,10,0.000306,0.000386,0.007569,18.1407,24.0936,4.1723,15,0.001031,5,0,0
600,1,17,12,300,89.031,0.00071,0.000153,1,0,0.000139,0.003105,53.5856,63.426,5.1435,26,0.001434,5,0,0
8493,2,16,16,750,78.3252,0.004064,0.000178,4,0.000025,0.000076,0.001753,126.2353,109.7971,6,13,0.000483,4,0,0
3772,6,17,28,1100,161.1174,0.003609,0.000658,7,0.000016,0.000777,0.005322,32.0657,38.1461,5.0626,30,0.000999,11,0.000087,0.000079
2029,7,19,28,1466,234.7176,0.011472,0.000936,8,0.000092,0.00091,0.004602,15.0575,43.1519,7.0774,33,0.003191,7,0.000053,0
532,1,22,20,315,54.0792,0.001258,0.000296,3,0.000037,0.000481,0.002182,37.1724,111.661,3.9492,14,0.001332,5,0,0
8760,7,23,6,1500,212.148,0.014708,0.000916,10,0.000458,0.000555,0.004187,27.7385,42.7716,6.0269,25,0.000683,4,0,0
10026,8,NULL,NULL,NULL,340.1982,0.028214,0.001242,8,0.000519,0.001163,0.006898,15.2852,26.6907,5.1293,26,0.001536,8,0,0.000113
8800,2,20,6,480,54.3408,0.000969,0.000176,5,0.000088,0.000303,0.002496,61.1969,84.8471,3.8275,18,0.000421,7,0,0.000108
3401,6,21,42,1000,139.9986,0.003726,0.000623,6,0.000289,0.001057,0.004682,26.3714,43.2589,4.8124,32,0.001146,8,0,0.000634
7494,4,19,8,450,75.0432,0.000292,0.000162,0,0.000097,0.000453,0.001782,94.1481,127.9273,7.4364,14,0.001522,4,0,0
7415,7,24,20,1000,211.9686,0.005753,0.001328,8,0.000346,0.000249,0.004564,10.2857,34.5818,7.2364,30,0.000484,3,0,0.000194
2970,2,26,20,650,88.5954,0.000154,0.000028,4,0.000349,0.000405,0.002173,61.7339,71.0921,7.6595,33,0.000265,7,0,0
3457,4,22,6,400,113.2158,0.001716,0.000211,3,0.000034,0.000194,0.004041,45.5094,55.0962,4.7343,30,0.000812,7,0,0.000017
10036,8,NULL,NULL,NULL,325.1154,0.02979,0.001338,10,0.000059,0.000357,0.005381,15.4571,40.3646,5.7652,22,0.000907,7,0,0
10024,8,NULL,NULL,NULL,299.229,0.026428,0.000951,10,0.000155,0.000929,0.005443,17.0835,33.7398,5.2703,16,0.000697,6,0.000033,0.000011
3267,2,24,8,150,67.4424,0.001541,0.000186,7,0.000029,0.000371,0.002369,57.5515,99.6386,4.7892,18,0.000913,6,0,0
5439,5,21,28,960,215.6448,0.015267,0.000529,5,0,0.000027,0.005998,22.6274,33.0226,4.0939,34,0.000441,7,0.000109,0.000142
5799,6,20,14,1000,283.3254,0.030716,0.000377,8,0.000377,0.000198,0.002874,23.7987,57.225,7.875,14,0.000988,4,0,0
3826,2,24,12,600,60.9768,0.001858,0.000236,0,0,0.000288,0.001754,60.9697,127.2239,5.5373,11,0.000471,3,0,0
1604,1,25,24,300,43.4706,0.00017,0.000195,4,0,0.000122,0.002995,61.2082,106.1138,2.7724,16,0.000767,8,0,0
6770,1,18,6,450,35.2848,0.000058,0.000029,1,0,0.000087,0.001541,76.4615,115.2453,4.4717,7,0.00064,2,0,0
710,6,22,28,500,124.5138,0.002012,0.000374,5,0.000131,0.001698,0.00398,25.4737,46.7746,5.4179,29,0.000836,9,0.000131,0.00034
10022,8,NULL,NULL,NULL,210.5088,0.007974,0.000867,7,0.000548,0.000638,0.006518,15.7856,30.7156,4.8058,34,0.000817,6,0,0
6854,3,18,20,600,97.623,0.003566,0.000338,0,0.000056,0.00015,0.002797,49.5676,78.8993,5.349,22,0.000638,5,0,0.000225
3494,1,33,10,750,31.5294,0.00015,0.00007,6,0,0.000079,0.001935,76.895,111.1818,3.0227,17,0.000387,7,0,0
8760,7,23,6,1500,212.148,0.014708,0.000916,10,0.000458,0.000555,0.004187,27.7385,42.7716,6.0269,25,0.000683,4,0,0
2129,3,27,14,300,106.695,0.003,0.00019,4,0,0.000095,0.00341,69.0196,64.6257,5.067,23,0.000695,8,0,0
4920,6,21,8,250,149.5446,0.007052,0.000342,5,0.000256,0.000256,0.002329,30.7778,47.6697,9.1376,16,0.000641,5,0,0
5060,1,20,28,100,139.6362,0.007162,0.000605,3,0,0.00002,0.002219,58.8624,76.4364,9.2364,20,0.000666,5,0,0
4295,2,19,10,100,41.6328,0.000258,0.000043,3,0,0.000143,0.001923,42.3759,103.7612,4.0896,18,0.000287,6,0,0.000086
8672,7,23,42,2000,298.7952,0.02677,0.000377,4,0.000025,0.000025,0.004822,16.8586,33.7292,6.1354,14,0.000954,4,0,0
8556,3,37,6,600,44.9682,0.001397,0.000442,6,0.000012,0.000179,0.001923,74.575,99.9503,3.9193,12,0.000693,6,0,0.000108
3868,3,26,28,800,151.362,0.00575,0.000443,4,0.000357,0.00123,0.003192,33.668,57.6493,7.3256,31,0.00083,10,0.000166,0.0004
5271,5,19,10,300,103.4796,0.002204,0.000527,0,0.000083,0.00025,0.004284,39.3766,56.5049,4.068,22,0.001054,6,0.000042,0.000028
6393,7,22,56,3000,169.6974,0.004626,0.000517,6,0.00012,0.000397,0.006112,25.5613,35.2326,4.3308,30,0.001357,7,0.000323,0.000443
2188,7,19,56,500,129.9048,0.007969,0.000652,6,0.000223,0.000223,0.003945,38.7879,51.7823,4.3528,25,0.000835,9,0.000286,0.000231
2076,7,23,56,2400,136.2432,0.006425,0.000855,10,0.00001,0.000185,0.005132,28.0987,39.9318,4.0322,33,0.001118,10,0.000107,0.000826
1463,7,17,56,1600,202.0026,0.01307,0.000816,4,0.000149,0.000378,0.006615,20.0964,33.9368,3.7699,25,0.001154,7,0,0
8288,4,27,18,1260,69.141,0.000637,0.000255,4,0.000109,0.00071,0.002966,42.4444,66.2577,4.227,16,0.000801,5,0,0.000146
604,3,21,10,200,68.1486,0.001639,0.000393,0,0.000023,0.000023,0.004133,29.3034,56.9832,2.7374,16,0.000762,4,0,0.000115
9014,2,25,8,420,51.2376,0,0,0,0,0.000461,0.002643,80.6734,78.4966,3.7416,31,0.001127,7,0.000044,0.000346
6469,7,23,36,1100,225.2022,0.012627,0.001074,8,0.000412,0.001336,0.00612,21.407,38.4898,4.9061,28,0.001486,7,0.000087,0.000187
1913,2,21,6,848,75.5562,0.001474,0.000162,5,0.000267,0.000383,0.003318,68.9263,69.9021,3.8531,23,0.000673,8,0,0
4785,2,24,2,20,45.4902,0.00194,0.000573,5,0.000026,0.000128,0.002701,82.5651,95.2152,2.5222,19,0.000727,6,0,0.000009
779,1,28,6,100,68.214,0.001211,0.000346,1,0,0.000386,0.00229,57.0526,84.0698,5.4767,17,0.000998,6,0,0
7616,5,23,16,600,122.604,0.00362,0.000382,6,0.000461,0.000158,0.003963,43.0267,59.1495,4.8505,28,0.001277,8,0,0
5551,5,21,10,500,113.7714,0.002978,0.00049,7,0.000331,0.000212,0.003931,31.2703,56.9024,4.6633,18,0.000556,7,0,0
2495,4,21,8,450,130.9572,0.010635,0.000527,7,0,0.000063,0.002972,48.2881,72.4388,4.8101,23,0.001279,9,0.000326,0
6271,5,17,20,1700,194.7306,0.015975,0.000466,5,0.000162,0.000162,0.003791,15.5054,44.4492,5.4492,13,0.000831,7,0,0.000101
8126,3,18,4,50,69.8706,0.000933,0.000196,8,0,0.00014,0.002826,65.1858,77.9773,4.3414,29,0.000532,7,0,0
10089,8,NULL,NULL,NULL,259.6296,0.020425,0.000743,9,0.000621,0.000146,0.004555,18.6059,42.8342,6.2754,46,0.000877,5,0,0
8504,6,25,16,800,150.3102,0.006907,0.000542,5,0.000129,0.000219,0.003705,31.5245,44.4321,5.8885,35,0.00102,8,0.000245,0.000271
6411,6,18,24,650,106.0614,0.001575,0.000236,5,0.000061,0.000135,0.003574,34.1509,55.5706,5.4049,24,0.00068,7,0,0
3428,1,20,10,50,38.3322,0.000508,0.000319,1,0,0.00005,0.001974,60.3452,113.4141,3.4949,22,0.000259,5,0,0
2997,1,16,8,72,70.41,0.00109,0.000156,6,0,0.000033,0.002705,103.7568,88.2303,4.5364,28,0.000713,9,0,0
2469,5,26,6,350,163.2738,0.01109,0.000217,5,0.000013,0.000345,0.003837,36.8161,52.88,5.02,25,0.000716,5,0,0
6237,1,20,12,730,172.953,0.013986,0.000667,5,0.000083,0.000083,0.004042,35.2552,51.1065,4.5945,17,0.001375,6,0,0.000625
10089,8,NULL,NULL,NULL,259.6296,0.020425,0.000743,9,0.000621,0.000146,0.004555,18.6059,42.8342,6.2754,46,0.000877,5,0,0
10021,8,NULL,NULL,NULL,189.5778,0.007559,0.000487,10,0.000606,0.000566,0.005821,22.0317,36.733,4.905,28,0.00054,5,0,0
10018,8,NULL,NULL,NULL,211.0722,0.013049,0.00094,10,0.000366,0.000909,0.003719,19.6169,38.9326,7.132,23,0.000898,9,0,0
4610,3,17,28,700,116.5002,0.002056,0.000285,2,0.000009,0.00051,0.003473,38.1347,54.2388,6.0697,29,0.000976,10,0.000009,0.000026
1816,3,26,6,400,56.5494,0.002039,0.00025,3,0.000036,0.000119,0.002885,70.0415,85.8512,3.0661,17,0.001025,6,0,0
10090,8,NULL,NULL,NULL,314.67,0.028043,0.001157,10,0.000246,0.001083,0.004259,14.3023,36.1156,7.1965,16,0.000788,4,0,0
4110,2,23,20,100,45.8268,0.000212,0.000046,0,0.000083,0.000277,0.002354,54.9921,98.5098,3.7333,22,0.00084,6,0.000083,0.000111
290,3,31,12,300,72.0948,0.00353,0.000104,1,0.000035,0.00032,0.002286,73.9634,89.1793,3.7356,37,0.000424,7,0,0
3313,6,22,20,700,106.3542,0.002941,0.000449,7,0.000128,0.000171,0.004374,27.7451,47.4328,4.0782,20,0.000888,8,0.00046,0.000374
5407,6,21,56,1400,142.4454,0.004389,0.000645,7,0.00001,0.000208,0.00622,23.9062,35.4515,3.597,20,0.000749,7,0.000125,0.000738
6177,7,21,6,500,115.7556,0.002693,0.000478,5,0.000326,0.000513,0.004406,20.4244,51.3333,4.3783,22,0.000711,7,0,0.000221
2820,3,18,20,600,79.6956,0.001145,0.000158,2,0.000024,0.000256,0.002704,64.4163,73.7658,5.2838,17,0.001693,8,0.000073,0.000548
2029,7,19,28,1466,234.7176,0.011472,0.000936,8,0.000092,0.00091,0.004602,15.0575,43.1519,7.0774,33,0.003191,7,0.000053,0
3580,1,18,12,600,83.01,0.000403,0.000024,0,0,0.000356,0.003034,40.5039,72,5.0547,13,0.000616,4,0,0.000024
8198,4,21,12,1000,113.871,0.00066,0.000112,0,0.00003,0.001157,0.004485,31.102,46.4072,4.543,36,0.001208,10,0,0
9161,2,34,2,110,61.0746,0.000561,0.000129,1,0.000072,0.000158,0.002646,52.2842,86.9348,4.2772,20,0.00115,7,0,0
7444,4,25,10,600,119.9988,0.002293,0.000275,5,0.000073,0.000073,0.002733,35.2703,81.0201,7.4832,18,0.001064,5,0,0
10015,8,NULL,NULL,NULL,274.2552,0.018121,0.001264,8,0.000053,0.000975,0.007111,10.6419,24.3556,4.387,28,0.001106,6,0,0
6600,2,24,8,300,110.0604,0.002128,0.000602,10,0,0.000238,0.002898,35.9223,62.1063,6.5362,14,0.000602,5,0,0
4424,5,29,16,577,143.7672,0.008429,0.000208,2,0.00003,0.000317,0.005095,33.2996,47.3786,3.8058,23,0.000722,7,0,0
1310,4,21,10,150,126.1386,0.002854,0.000505,5,0.00003,0.000733,0.003429,24.4522,57.2601,6.5058,27,0.001229,7,0.000228,0.000178
5971,5,24,6,1100,75.3654,0.002191,0.000445,4,0.000034,0.000137,0.002431,62.9143,69.4648,5.0845,15,0.000685,3,0,0
4777,1,24,6,20,43.1352,0.000242,0.000061,3,0,0.000113,0.002925,79.3709,67.0059,2.716,33,0.000554,8,0.000052,0.000017
5738,1,16,14,450,52.644,0.000538,0.000108,3,0,0.000108,0.001959,34.8889,107.033,4.989,13,0.000452,4,0,0
